MACIERZ P
#|   0      1      2      3      4      5      6      7      8      9      10   
--|-----------------------------------------------------------------------------
0|   0      0      0      0      0      0      0      0      0      0      0   
1|   0      0      0      0      0      0      0     75    75    75    75  
2|   0      0      0      0      0      0      0     75   150  150  150 
3|   0      0      0      0      0      0    250  250  250  250  250 
4|   0      0      0      0     35    35   250  250  250  250  285 
5|   0      0      0     10    35    35   250  250  250  260  285 
6|   0      0      0     10    35    35   250  250  250  260  285 

MACIERZ Q
#|0 1 2 3 4 5 6 7 8 9 10 
--|---------------------------------
0|0 0 0 0 0 0 0 0 0 0 0 
1|0 0 0 0 0 0 0 1 1 1 1 
2|0 0 0 0 0 0 0 1 2 2 2 
3|0 0 0 0 0 0 3 3 3 3 3 
4|0 0 0 0 4 4 3 3 3 3 4 
5|0 0 0 5 4 4 3 3 3 5 4 
6|0 0 0 5 4 4 3 3 3 5 4 
